Title,Description,Price,Rating,Review
"Apple iPhone 15 (Blue, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,400",4.6,"9,192 Reviews"
"Apple iPhone 16 Pro (Natural Titanium, 256 GB)","256 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,22,900",4.7,83 Reviews
"Apple iPhone 16 Plus (Black, 512 GB)","512 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,09,999",4.6,102 Reviews
"Apple iPhone 15 (Blue, 512 GB)","512 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹94,400",4.6,"9,192 Reviews"
"Apple iPhone 16 Plus (Pink, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹89,999",4.6,102 Reviews
"Apple iPhone 16 Pro (Natural Titanium, 512 GB)","512 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,42,900",4.7,83 Reviews
"Apple iPhone 13 (Green, 512 GB)","512 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,999",4.6,"13,842 Reviews"
"Apple iPhone 14 Plus (Midnight, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,900",4.6,"4,755 Reviews"
"Apple iPhone 15 Plus (Blue, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹84,900",4.6,"2,473 Reviews"
"Apple iPhone 16 Pro Max (White Titanium, 256 GB)","256 GB ROM, 17.53 cm (6.9 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,35,900",4.6,50 Reviews
